Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Status,Resolution,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,Response Delay (hrs),Resolution Time (hrs),Age Group
63,0,31,4,2,1530,2,3,0.0,15945.1025,0.16666666666666666,4
19,1,2,2,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,5
35,2,19,2,2,1530,3,3,0.0,16723.036666666667,0.16666666666666666,1
22,2,23,0,2,1530,2,3,0.0,27020.036944444444,0.16666666666666666,0
21,2,12,1,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,0
30,2,12,4,0,2178,0,2,5.0,26063.288055555557,6.766666666666667,0
67,1,40,1,0,831,3,2,1.0,21288.90472222222,17.483333333333334,4
22,2,0,0,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,0
60,1,15,4,0,361,3,3,3.0,12678.705833333333,0.5666666666666667,3
36,0,12,0,2,1530,3,0,0.0,13003.605833333333,0.16666666666666666,1
50,1,5,3,0,1067,0,3,5.0,12938.023055555555,16.4,2
27,1,27,3,2,1530,2,0,0.0,18812.84,0.16666666666666666,0
24,2,16,1,0,1876,1,0,1.0,23071.94027777778,-7.7,0
65,0,9,3,2,1530,3,1,0.0,28191.85777777778,0.16666666666666666,4
39,0,2,2,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,1
19,1,18,4,0,1529,0,2,3.0,15114.758333333333,-20.866666666666667,5
33,2,1,2,2,1530,3,3,0.0,14086.325555555555,0.16666666666666666,1
19,0,33,2,2,1530,2,2,0.0,20265.1925,0.16666666666666666,5
35,1,10,0,0,2267,0,0,3.0,17348.426111111112,-5.7,1
22,1,35,2,2,1530,3,2,0.0,23154.693055555555,0.16666666666666666,0
54,0,41,4,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,3
34,2,19,3,0,1631,0,1,2.0,14741.9775,-2.65,1
65,0,21,2,1,1530,2,0,0.0,21273.225972222222,0.16666666666666666,4
50,0,31,3,0,167,1,2,1.0,23019.72861111111,5.683333333333334,2
27,0,16,4,0,1202,3,3,1.0,24895.279166666667,-1.2833333333333334,0
32,2,20,1,1,1530,1,0,0.0,21273.225972222222,0.16666666666666666,1
44,1,25,4,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,2
66,1,39,3,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,4
64,1,21,3,0,1403,3,0,3.0,22168.363611111112,-5.833333333333333,4
54,1,28,3,0,1440,1,3,3.0,14377.913611111111,19.083333333333332,3
37,1,19,1,0,712,2,0,4.0,15696.663888888888,9.766666666666667,1
68,0,27,4,2,1530,2,0,0.0,14287.430833333334,0.16666666666666666,4
50,0,31,1,2,1530,0,0,0.0,13427.248055555556,0.16666666666666666,2
69,1,5,4,2,1530,3,3,0.0,12634.564722222221,0.16666666666666666,4
47,2,15,3,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,2
27,1,5,4,0,632,3,2,5.0,24851.949166666665,-7.183333333333334,0
40,2,3,2,0,1973,3,0,3.0,15235.849444444444,-19.2,1
40,1,37,1,0,676,3,0,1.0,22248.3,11.616666666666667,1
41,2,23,2,2,1530,0,3,0.0,13369.53388888889,0.16666666666666666,2
64,0,40,0,0,769,1,1,4.0,21623.617777777778,13.066666666666666,4
57,0,0,0,2,1530,1,2,0.0,27199.118055555555,0.16666666666666666,3
61,1,27,4,1,1530,3,2,0.0,21273.225972222222,0.16666666666666666,4
56,1,3,4,2,1530,3,2,0.0,13606.635277777777,0.16666666666666666,3
49,0,16,0,0,820,1,1,5.0,15893.102222222222,5.183333333333334,2
54,1,25,1,2,1530,2,2,0.0,16917.069444444445,0.16666666666666666,3
51,2,0,4,2,1530,0,0,0.0,20279.003333333334,0.16666666666666666,3
46,0,8,3,0,114,1,0,1.0,28907.953333333335,-13.1,2
27,1,18,1,2,1530,3,0,0.0,17927.820555555554,0.16666666666666666,0
37,2,41,3,1,1530,3,3,0.0,21273.225972222222,0.16666666666666666,1
34,0,11,0,0,749,2,0,4.0,20044.58777777778,-1.3,1
36,2,12,1,0,828,0,3,3.0,22437.52138888889,-19.116666666666667,1
31,0,40,0,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,1
37,2,34,2,0,2182,0,0,1.0,21038.722222222223,-12.216666666666667,1
18,2,41,1,1,1530,0,2,0.0,21273.225972222222,0.16666666666666666,5
63,0,12,0,0,1071,2,1,5.0,21235.273333333334,-3.9166666666666665,4
55,2,18,0,2,1530,3,3,0.0,21016.957222222223,0.16666666666666666,3
40,2,21,4,2,1530,0,0,0.0,22571.457777777778,0.16666666666666666,1
50,2,25,4,2,1530,0,2,0.0,19231.457777777778,0.16666666666666666,2
29,2,3,1,2,1530,3,1,0.0,16307.624722222223,0.16666666666666666,0
24,1,33,3,0,721,2,3,1.0,14525.675,14.916666666666666,0
57,2,5,4,2,1530,0,2,0.0,15816.40888888889,0.16666666666666666,3
67,2,26,4,1,1530,3,2,0.0,21273.225972222222,0.16666666666666666,4
67,0,9,2,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,4
46,1,38,4,0,1944,0,2,2.0,29538.05972222222,-11.666666666666666,2
55,2,32,4,2,1530,1,3,0.0,23875.36,0.16666666666666666,3
42,2,29,0,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,2
40,1,39,2,0,745,3,1,5.0,29231.294444444444,3.8666666666666667,1
57,2,39,3,2,1530,1,2,0.0,23023.261388888888,0.16666666666666666,3
62,1,41,2,2,1530,2,1,0.0,13536.245277777778,0.16666666666666666,4
44,1,6,4,2,1530,2,1,0.0,17655.9625,0.16666666666666666,2
32,0,33,3,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,1
65,2,27,2,1,1530,0,2,0.0,21273.225972222222,0.16666666666666666,4
60,1,5,2,0,2069,1,0,5.0,14568.146944444445,18.516666666666666,3
18,0,34,1,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,5
22,2,40,2,2,1530,1,1,0.0,29521.930833333332,0.16666666666666666,0
38,1,35,0,0,917,1,0,5.0,23887.098055555554,7.666666666666667,1
23,2,36,4,2,1530,2,0,0.0,26703.548055555555,0.16666666666666666,0
39,0,11,1,2,1530,1,1,0.0,26325.61527777778,0.16666666666666666,1
18,2,41,0,2,1530,0,2,0.0,16077.015833333333,0.16666666666666666,5
40,0,4,3,0,1330,0,1,3.0,20547.132777777777,12.266666666666667,1
49,1,11,3,1,1530,1,0,0.0,21273.225972222222,0.16666666666666666,2
58,1,12,3,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,3
56,2,11,2,2,1530,0,0,0.0,16418.133611111112,0.16666666666666666,3
42,0,30,1,0,2355,2,1,2.0,17819.633611111112,9.133333333333333,2
50,2,21,4,2,1530,1,1,0.0,17343.816944444443,0.16666666666666666,2
33,1,11,4,0,799,0,0,4.0,29762.9175,5.333333333333333,1
59,0,7,2,1,1530,1,1,0.0,21273.225972222222,0.16666666666666666,3
60,0,1,1,0,1165,1,1,2.0,16155.234722222222,9.483333333333333,3
68,1,31,3,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,4
68,0,35,2,1,1530,3,3,0.0,21273.225972222222,0.16666666666666666,4
27,2,25,1,0,2280,1,1,1.0,13587.4025,-5.0,0
28,0,37,1,0,1261,1,1,1.0,23626.452777777777,-4.383333333333334,0
29,1,41,4,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,0
20,0,41,1,0,369,1,1,5.0,13243.036944444444,-0.75,5
18,1,17,0,0,957,3,2,5.0,28824.670555555556,4.033333333333333,5
39,0,19,3,1,1530,1,1,0.0,21273.225972222222,0.16666666666666666,1
41,0,12,0,0,34,2,2,2.0,16084.371388888889,10.45,2
56,1,2,0,2,1530,3,0,0.0,19506.03861111111,0.16666666666666666,3
37,2,7,2,1,1530,0,0,0.0,21273.225972222222,0.16666666666666666,1
29,2,10,3,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,0
36,2,35,2,2,1530,2,1,0.0,12517.14,0.16666666666666666,1
63,1,11,4,2,1530,1,2,0.0,19202.240555555556,0.16666666666666666,4
45,1,32,3,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,2
68,0,23,0,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,4
57,1,40,3,2,1530,2,1,0.0,23427.15861111111,0.16666666666666666,3
49,1,0,1,0,2467,3,1,3.0,18646.209166666667,2.283333333333333,2
55,2,1,1,2,1530,2,1,0.0,18175.643055555556,0.16666666666666666,3
43,1,4,0,0,1155,3,1,2.0,28917.52666666667,-6.466666666666667,2
49,1,21,2,2,1530,0,3,0.0,13316.960555555555,0.16666666666666666,2
65,0,33,1,1,1530,3,2,0.0,21273.225972222222,0.16666666666666666,4
50,1,30,3,0,93,0,2,5.0,17153.24472222222,-18.35,2
66,1,33,1,0,1798,0,1,2.0,27031.678333333333,-6.55,4
35,0,35,2,2,1530,2,0,0.0,13898.095277777778,0.16666666666666666,1
46,2,7,1,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,2
21,2,1,4,0,2314,2,0,4.0,12681.94611111111,-0.8,0
58,1,0,2,0,1011,0,0,2.0,20135.879722222224,7.1,3
31,2,20,1,2,1530,2,2,0.0,19483.780277777776,0.16666666666666666,1
47,1,22,1,0,1282,0,1,1.0,18081.597222222223,-4.083333333333333,2
31,2,38,4,0,2597,1,0,2.0,27477.314444444444,-16.133333333333333,1
38,0,34,0,2,1530,1,0,0.0,18398.531666666666,0.16666666666666666,1
38,0,8,1,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,1
25,0,9,3,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,0
46,1,32,1,2,1530,3,1,0.0,23103.41638888889,0.16666666666666666,2
39,1,23,1,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,1
22,0,3,0,0,1637,2,3,3.0,23245.75083333333,-14.283333333333333,0
40,2,22,3,0,802,1,0,1.0,14048.75138888889,5.166666666666667,1
64,0,32,4,0,992,0,1,3.0,19336.56861111111,3.466666666666667,4
29,0,18,3,0,87,0,1,4.0,23055.5525,-8.7,0
45,2,40,3,2,1530,3,2,0.0,12588.552777777777,0.16666666666666666,2
46,2,16,2,2,1530,2,3,0.0,14175.969722222222,0.16666666666666666,2
58,1,15,4,2,1530,3,3,0.0,28226.836944444443,0.16666666666666666,3
55,0,34,4,1,1530,3,3,0.0,21273.225972222222,0.16666666666666666,3
52,1,19,1,1,1530,2,0,0.0,21273.225972222222,0.16666666666666666,3
20,1,4,2,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,5
69,1,30,4,1,1530,3,2,0.0,21273.225972222222,0.16666666666666666,4
35,1,11,2,2,1530,2,3,0.0,13154.3225,0.16666666666666666,1
55,2,39,0,2,1530,1,1,0.0,20371.556111111113,0.16666666666666666,3
19,0,23,3,2,1530,1,1,0.0,25138.339722222223,0.16666666666666666,5
29,0,19,3,0,1084,1,2,3.0,29811.32361111111,12.65,0
30,1,7,3,0,1914,0,2,1.0,14085.640833333333,-11.016666666666667,0
34,1,25,1,0,292,3,2,3.0,22387.2575,-10.216666666666667,1
24,1,19,0,0,1943,2,3,5.0,17803.658055555556,1.7833333333333334,0
33,1,6,2,2,1530,2,1,0.0,24991.358333333334,0.16666666666666666,1
32,0,40,3,0,2240,3,1,3.0,27700.59222222222,2.9,1
41,1,14,4,0,610,3,0,3.0,29220.6925,-6.366666666666666,2
51,2,23,0,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,3
30,1,39,2,0,2760,3,2,1.0,24758.243333333332,-3.1,0
44,0,25,0,0,233,2,3,4.0,12591.710555555555,2.9,2
33,0,38,3,1,1530,2,0,0.0,21273.225972222222,0.16666666666666666,1
36,2,28,1,2,1530,3,3,0.0,29314.895,0.16666666666666666,1
50,2,23,3,2,1530,3,1,0.0,14591.17861111111,0.16666666666666666,2
37,1,21,4,2,1530,0,0,0.0,14515.378611111111,0.16666666666666666,1
42,2,33,4,0,878,3,1,4.0,14197.245833333332,-5.85,2
49,0,37,4,2,1530,3,1,0.0,13490.763055555555,0.16666666666666666,2
27,2,11,1,2,1530,1,2,0.0,23603.063611111113,0.16666666666666666,0
25,2,0,0,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,0
58,0,18,0,2,1530,0,2,0.0,17490.614444444444,0.16666666666666666,3
60,2,24,3,2,1530,3,1,0.0,13467.564722222221,0.16666666666666666,3
34,2,2,1,2,1530,0,3,0.0,22028.798333333332,0.16666666666666666,1
33,0,36,2,0,2609,1,0,4.0,18577.498888888887,5.083333333333333,1
32,0,18,0,0,1201,3,2,4.0,28127.649166666666,4.216666666666667,1
29,0,34,3,2,1530,1,0,0.0,14221.799722222222,0.16666666666666666,0
50,2,37,4,1,1530,2,2,0.0,21273.225972222222,0.16666666666666666,2
33,0,41,2,2,1530,3,2,0.0,18463.5,0.16666666666666666,1
46,1,23,1,2,1530,2,2,0.0,20729.233888888888,0.16666666666666666,2
37,2,34,3,0,4,1,2,1.0,20943.9675,-8.433333333333334,1
46,2,21,4,1,1530,0,3,0.0,21273.225972222222,0.16666666666666666,2
70,2,41,3,2,1530,0,2,0.0,20211.15166666667,0.16666666666666666,4
57,0,12,2,2,1530,2,1,0.0,23039.285277777777,0.16666666666666666,3
58,2,16,2,0,1886,3,2,1.0,13965.519166666667,-22.7,3
18,1,16,1,2,1530,0,0,0.0,15269.136111111111,0.16666666666666666,5
57,1,36,0,0,2169,3,3,2.0,17188.136388888888,7.683333333333334,3
29,2,28,3,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,0
66,0,19,3,2,1530,2,3,0.0,15906.070555555556,0.16666666666666666,4
30,1,24,3,0,562,1,0,3.0,20498.904166666667,-4.3,0
60,0,1,1,0,1607,0,0,5.0,16273.121388888889,18.283333333333335,3
66,2,9,2,0,1043,3,0,5.0,23652.655277777776,7.916666666666667,4
51,2,4,2,1,1530,0,1,0.0,21273.225972222222,0.16666666666666666,3
55,2,14,3,1,1530,3,3,0.0,21273.225972222222,0.16666666666666666,3
26,0,23,0,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,0
46,1,20,2,2,1530,2,2,0.0,26591.42388888889,0.16666666666666666,2
43,0,17,1,0,119,1,2,3.0,26057.79111111111,0.05,2
55,1,39,3,0,680,3,2,1.0,22069.94138888889,-2.6333333333333333,3
47,1,34,0,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,2
48,0,28,0,2,1530,0,1,0.0,16176.85861111111,0.16666666666666666,2
38,1,9,3,1,1530,1,1,0.0,21273.225972222222,0.16666666666666666,1
62,2,31,4,0,2752,2,0,1.0,29133.842777777776,-1.6666666666666667,4
39,1,37,4,2,1530,2,2,0.0,29567.693333333333,0.16666666666666666,1
49,2,21,2,2,1530,2,3,0.0,27636.62722222222,0.16666666666666666,2
34,0,15,4,1,1530,3,3,0.0,21273.225972222222,0.16666666666666666,1
62,1,3,0,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,4
28,1,4,2,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,0
59,0,37,0,1,1530,0,0,0.0,21273.225972222222,0.16666666666666666,3
18,0,35,4,2,1530,1,0,0.0,21110.22861111111,0.16666666666666666,5
20,2,30,0,1,1530,2,0,0.0,21273.225972222222,0.16666666666666666,5
44,1,32,0,2,1530,0,1,0.0,20139.19638888889,0.16666666666666666,2
65,0,9,4,0,565,0,3,2.0,14793.96361111111,1.0833333333333333,4
70,0,39,0,0,1329,3,3,5.0,19261.8975,-8.133333333333333,4
34,2,11,0,2,1530,0,0,0.0,19113.23138888889,0.16666666666666666,1
64,2,36,1,2,1530,0,2,0.0,20303.414722222224,0.16666666666666666,4
67,0,23,3,2,1530,2,0,0.0,26398.965277777777,0.16666666666666666,4
59,1,16,3,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,3
35,0,33,4,0,2599,1,0,4.0,27828.399166666666,-14.483333333333333,1
53,0,3,0,0,2757,1,2,4.0,21070.833055555555,17.366666666666667,3
56,1,19,1,2,1530,2,2,0.0,28324.983333333334,0.16666666666666666,3
32,1,38,0,1,1530,2,2,0.0,21273.225972222222,0.16666666666666666,1
66,1,27,4,0,1386,0,3,2.0,19952.167777777777,2.5,4
65,1,11,3,2,1530,2,0,0.0,25624.285,0.16666666666666666,4
55,1,13,4,2,1530,1,2,0.0,22632.96861111111,0.16666666666666666,3
40,1,19,4,1,1530,1,1,0.0,21273.225972222222,0.16666666666666666,1
67,2,7,3,2,1530,1,0,0.0,20413.219166666666,0.16666666666666666,4
65,0,11,1,1,1530,0,0,0.0,21273.225972222222,0.16666666666666666,4
18,0,9,0,2,1530,0,1,0.0,21821.786944444444,0.16666666666666666,5
40,1,41,3,0,816,0,2,3.0,21008.35388888889,-7.633333333333334,1
31,1,39,2,0,2170,1,3,4.0,14952.854444444445,7.783333333333333,1
69,0,21,3,2,1530,0,1,0.0,20680.371666666666,0.16666666666666666,4
48,1,28,1,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,2
66,1,32,4,0,2622,2,3,5.0,16236.739166666666,-3.033333333333333,4
55,1,41,0,0,2753,2,3,2.0,14000.173055555555,13.65,3
30,1,12,4,1,1530,0,0,0.0,21273.225972222222,0.16666666666666666,0
43,2,22,4,2,1530,0,0,0.0,26550.590277777777,0.16666666666666666,2
66,0,25,1,2,1530,3,2,0.0,29598.12416666667,0.16666666666666666,4
55,1,41,0,2,1530,3,2,0.0,27604.324444444443,0.16666666666666666,3
59,1,16,4,2,1530,3,0,0.0,28997.691666666666,0.16666666666666666,3
37,2,27,0,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,1
44,1,5,3,2,1530,0,3,0.0,18489.959444444445,0.16666666666666666,2
35,1,38,3,0,677,1,0,3.0,14871.176111111112,-0.6,1
19,0,34,4,0,1007,0,2,2.0,16179.259444444444,4.816666666666666,5
29,2,27,4,2,1530,0,3,0.0,21806.91,0.16666666666666666,0
40,2,15,1,2,1530,1,3,0.0,28035.51027777778,0.16666666666666666,1
69,0,24,4,2,1530,1,3,0.0,13579.227222222222,0.16666666666666666,4
51,0,18,3,2,1530,2,1,0.0,17939.027222222223,0.16666666666666666,3
58,0,5,3,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,3
58,0,17,1,2,1530,1,0,0.0,16394.161666666667,0.16666666666666666,3
24,0,31,1,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,0
59,0,30,2,1,1530,1,0,0.0,21273.225972222222,0.16666666666666666,3
33,1,33,0,0,1955,2,3,5.0,15749.912777777778,5.533333333333333,1
56,2,2,0,2,1530,1,3,0.0,18192.163333333334,0.16666666666666666,3
42,0,8,0,1,1530,0,2,0.0,21273.225972222222,0.16666666666666666,2
48,1,26,2,0,1673,3,0,2.0,12893.747222222222,-5.6,2
52,1,16,2,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,3
46,2,39,3,0,442,0,3,3.0,16888.664444444443,-11.95,2
29,1,20,1,0,642,3,0,2.0,27140.315,-4.05,0
20,0,1,4,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,5
37,1,17,4,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,1
69,0,26,1,2,1530,3,2,0.0,24344.065555555557,0.16666666666666666,4
64,2,24,3,0,2621,1,3,3.0,18055.365833333333,8.8,4
63,1,40,0,0,2459,0,2,1.0,20990.11611111111,-0.65,4
44,2,2,3,1,1530,0,2,0.0,21273.225972222222,0.16666666666666666,2
43,1,20,4,2,1530,0,0,0.0,14027.4,0.16666666666666666,2
35,2,35,4,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,1
53,1,37,1,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,3
61,0,7,3,1,1530,2,0,0.0,21273.225972222222,0.16666666666666666,4
63,0,6,0,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,4
39,0,5,0,0,2221,3,0,4.0,28604.601666666666,-6.183333333333334,1
21,2,3,4,0,1544,2,3,5.0,17376.702222222222,-1.6166666666666667,0
40,0,33,0,2,1530,1,3,0.0,16974.485833333332,0.16666666666666666,1
33,1,7,2,0,988,0,0,2.0,18110.36972222222,1.7833333333333334,1
52,1,23,2,2,1530,2,3,0.0,22381.00361111111,0.16666666666666666,3
64,1,18,1,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,4
39,2,8,4,1,1530,0,3,0.0,21273.225972222222,0.16666666666666666,1
35,0,27,0,2,1530,2,2,0.0,27934.37111111111,0.16666666666666666,1
24,0,2,4,2,1530,3,3,0.0,13726.038333333334,0.16666666666666666,0
25,2,30,4,2,1530,0,2,0.0,14073.638611111111,0.16666666666666666,0
37,2,20,2,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,1
54,2,14,3,1,1530,1,0,0.0,21273.225972222222,0.16666666666666666,3
30,2,7,3,2,1530,0,1,0.0,28024.82277777778,0.16666666666666666,0
58,2,34,0,2,1530,2,0,0.0,27670.95611111111,0.16666666666666666,3
26,1,19,1,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,0
35,0,32,0,0,1474,1,1,2.0,12941.489722222223,4.3,1
65,1,34,2,1,1530,0,3,0.0,21273.225972222222,0.16666666666666666,4
58,0,32,2,0,2025,0,2,3.0,24025.82361111111,-1.5666666666666667,3
29,0,11,3,1,1530,3,1,0.0,21273.225972222222,0.16666666666666666,0
26,0,27,0,0,40,3,3,5.0,18971.457222222223,-3.0166666666666666,0
24,1,3,1,0,54,0,2,2.0,23812.24111111111,13.433333333333334,0
22,2,16,2,1,1530,2,0,0.0,21273.225972222222,0.16666666666666666,0
68,0,8,1,2,1530,3,2,0.0,14474.925555555556,0.16666666666666666,4
59,2,2,1,1,1530,1,3,0.0,21273.225972222222,0.16666666666666666,3
30,2,8,1,1,1530,3,3,0.0,21273.225972222222,0.16666666666666666,0
44,1,2,2,0,2316,3,2,1.0,29424.826944444445,1.0666666666666667,2
28,0,7,1,2,1530,3,3,0.0,16210.327222222222,0.16666666666666666,0
53,0,2,1,0,141,3,0,5.0,19620.41083333333,8.933333333333334,3
33,0,27,1,1,1530,0,0,0.0,21273.225972222222,0.16666666666666666,1
32,0,15,3,0,1036,2,3,2.0,16721.128333333334,3.05,1
21,0,20,4,2,1530,0,3,0.0,26936.195277777777,0.16666666666666666,0
19,2,13,2,1,1530,1,0,0.0,21273.225972222222,0.16666666666666666,5
62,0,35,4,1,1530,1,0,0.0,21273.225972222222,0.16666666666666666,4
53,1,31,4,0,2088,1,3,2.0,23965.863333333335,-9.033333333333333,3
46,0,6,3,0,2481,0,0,2.0,25159.31333333333,2.0,2
46,0,27,4,0,2596,3,1,1.0,25680.230555555554,1.2666666666666666,2
18,1,1,2,1,1530,2,2,0.0,21273.225972222222,0.16666666666666666,5
30,0,16,1,0,1588,1,1,2.0,20813.98138888889,-0.2833333333333333,0
33,2,13,1,2,1530,0,0,0.0,24046.03138888889,0.16666666666666666,1
52,1,35,1,1,1530,1,0,0.0,21273.225972222222,0.16666666666666666,3
18,1,3,4,0,1277,2,0,4.0,26983.54888888889,-7.65,5
28,0,30,0,2,1530,3,1,0.0,15114.86611111111,0.16666666666666666,0
29,0,28,3,1,1530,0,2,0.0,21273.225972222222,0.16666666666666666,0
27,2,28,1,0,131,3,1,4.0,15876.816944444445,-7.633333333333334,0
66,0,0,0,1,1530,1,1,0.0,21273.225972222222,0.16666666666666666,4
70,1,8,3,0,1598,0,3,3.0,13302.800833333333,-6.866666666666666,4
47,2,8,4,1,1530,0,3,0.0,21273.225972222222,0.16666666666666666,2
66,2,22,2,2,1530,2,2,0.0,28254.585277777776,0.16666666666666666,4
52,0,26,3,0,416,2,2,4.0,29304.68527777778,10.783333333333333,3
69,1,15,2,2,1530,0,1,0.0,25252.96888888889,0.16666666666666666,4
45,2,38,3,1,1530,2,3,0.0,21273.225972222222,0.16666666666666666,2
58,0,29,4,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,3
45,0,16,3,0,2474,3,0,5.0,14116.47,5.516666666666667,2
55,2,3,3,1,1530,2,2,0.0,21273.225972222222,0.16666666666666666,3
49,1,9,1,2,1530,3,2,0.0,25368.08777777778,0.16666666666666666,2
21,1,13,4,0,2363,3,3,2.0,27354.18833333333,1.75,0
41,2,31,4,0,752,3,2,2.0,20290.655277777776,-10.883333333333333,2
63,0,40,2,2,1530,1,1,0.0,18546.855555555554,0.16666666666666666,4
36,0,17,1,1,1530,1,2,0.0,21273.225972222222,0.16666666666666666,1
33,1,1,4,2,1530,0,2,0.0,23011.306111111113,0.16666666666666666,1
56,2,31,4,1,1530,1,1,0.0,21273.225972222222,0.16666666666666666,3
45,1,41,4,0,830,0,3,3.0,20264.74027777778,7.966666666666667,2
33,1,34,2,0,1154,2,1,1.0,28623.67388888889,-4.633333333333334,1
25,0,8,0,1,1530,3,2,0.0,21273.225972222222,0.16666666666666666,0
20,0,2,1,2,1530,0,1,0.0,13293.441111111111,0.16666666666666666,5
21,1,38,1,0,1285,2,0,5.0,20703.74111111111,5.516666666666667,0
48,2,11,2,1,1530,3,2,0.0,21273.225972222222,0.16666666666666666,2
52,2,19,4,0,486,1,2,3.0,17909.40861111111,12.016666666666667,3
54,1,14,4,0,2056,1,3,5.0,18735.942222222224,-8.716666666666667,3
63,0,32,4,1,1530,2,1,0.0,21273.225972222222,0.16666666666666666,4
44,0,25,3,1,1530,3,0,0.0,21273.225972222222,0.16666666666666666,2
52,1,5,4,2,1530,3,1,0.0,14322.459722222222,0.16666666666666666,3
28,0,20,0,0,1156,0,1,3.0,25223.51,17.916666666666668,0
70,2,14,1,0,2077,0,3,2.0,13975.560555555556,9.7,4
51,0,17,1,2,1530,3,2,0.0,12697.544166666667,0.16666666666666666,3
47,1,7,3,0,1519,1,1,2.0,21592.17777777778,-5.466666666666667,2
